match_url,map1_name,map2_name,map3_name
https://www.hltv.org/matches/2386593/-,Dust2,Inferno,Train
https://www.hltv.org/matches/2386296/-,Inferno,Dust2,Mirage
https://www.hltv.org/matches/2386596/-,Inferno,Nuke,Overpass
https://www.hltv.org/matches/2386297/-,Dust2,Nuke,Overpass
https://www.hltv.org/matches/2386766/-,Nuke,Mirage,Overpass
https://www.hltv.org/matches/2386595/-,,,
https://www.hltv.org/matches/2386547/-,Ancient,Nuke,Train
https://www.hltv.org/matches/2386682/-,Ancient,Dust2,Mirage
https://www.hltv.org/matches/2386548/-,Nuke,Overpass,Dust2
https://www.hltv.org/matches/2386293/-,Inferno,Mirage,Nuke
https://www.hltv.org/matches/2386210/-,Inferno,Ancient,Mirage
https://www.hltv.org/matches/2386292/-,Train,Inferno,Ancient
https://www.hltv.org/matches/2386551/-,Dust2,Train,Mirage
https://www.hltv.org/matches/2386724/-,Dust2,Ancient,Mirage
https://www.hltv.org/matches/2386549/-,Dust2,Nuke,Ancient
https://www.hltv.org/matches/2386335/-,Ancient,Mirage,Nuke
https://www.hltv.org/matches/2386550/-,Mirage,Inferno,Dust2
https://www.hltv.org/matches/2386552/-,Mirage,Dust2,Nuke
https://www.hltv.org/matches/2386419/-,Dust2,Ancient,Nuke
https://www.hltv.org/matches/2386681/-,Mirage,Inferno,Dust2
https://www.hltv.org/matches/2386209/-,Dust2,Train,Ancient
https://www.hltv.org/matches/2386553/-,Dust2,Nuke,
https://www.hltv.org/matches/2386334/-,Train,Ancient,Dust2
https://www.hltv.org/matches/2386671/-,Dust2,Mirage,Inferno
https://www.hltv.org/matches/2386554/-,,,
https://www.hltv.org/matches/2386723/-,Ancient,Dust2,Mirage
https://www.hltv.org/matches/2386418/-,Nuke,Ancient,Train
https://www.hltv.org/matches/2386333/-,Dust2,Ancient,Mirage
https://www.hltv.org/matches/2386680/-,Dust2,Ancient,Inferno
https://www.hltv.org/matches/2386525/-,Ancient,Inferno,Mirage
https://www.hltv.org/matches/2386526/-,Dust2,Mirage,Ancient
https://www.hltv.org/matches/2386722/-,Overpass,Nuke,Dust2
https://www.hltv.org/matches/2386417/-,Train,Nuke,Ancient
https://www.hltv.org/matches/2386783/-,Ancient,Train,Dust2
https://www.hltv.org/matches/2386670/-,Inferno,Dust2,Overpass
https://www.hltv.org/matches/2386228/-,Nuke,Dust2,Overpass
https://www.hltv.org/matches/2386229/-,Mirage,Nuke,Ancient
https://www.hltv.org/matches/2386332/-,Inferno,Nuke,Mirage
https://www.hltv.org/matches/2386616/-,Nuke,Ancient,Train
